"Month /Year","Jan","Feb","March","April","May","June","July","Aug","Sept","Oct","Nov","Dec",""
"1901","0","78.9","0","24.3","146","47.7","71.6","71.6","318.5","120.3","37.3","23.1",""
"1902","0.7","0","17","58.1","197.8","62.2","32","79.5","213.6","219.9","11.1","25.4",""
"1903","0","0","0","1.5","63.7","109.2","27.9","189.7","475.2","171.1","233.6","29.4",""
"1904","0.5","0","0","14.4","241.5","49.5","149.3","53.8","126.4","157.2","0","1.7",""
"1905","1.7","0","56.6","32.7","90.6","60.7","58.9","266.4","62.4","227.8","29.2","3",""
"1906","2.7","23.6","15.2","2.2","34","97","160.5","268.2","199.8","162.8","16.5","29.2",""
"1907","24.1","0","31.7","109.9","48.7","113.2","205.7","24.3","176.2","27.6","27.6","12.4",""
"1908","101.8","0","1.5","18.2","182.8","32","104.6","35.5","113.5","58.9","1.7","4.3",""
"1909","16","0","0","127","200.9","10.4","39.8","309.3","130.8","159.7","12.1","0",""
"1910","0","0","0.2","5","29.7","57.6","265.1","256","157.4","273","125.9","0",""
"1911","0","0","54.1","27.9","94.2","51.8","154.1","47.4","19.8","295.4","30.9","15.7",""
"1912","0","4.5","39.6","1.2","36.5","96","105.4","148.8","476.2","150.1","36","0.2",""
"1913","0","0","0","1","43.4","70.6","135.8","37.5","208.7","39.3","2.7","4.8",""
"1914","1","0","0","97.5","83.3","45.7","98.5","120.6","109.2","138.9","34","6",""
"1915","14.2","0.5","49","40.8","117.8","167.8","91.1","57.9","243.3","81.7","84","7.3",""
"1916","0","0","0","15.4","173.9","38.1","286.5","300.4","94.4","180.8","252.2","6.3",""
"1917","0.7","23.6","0","58.4","94.7","80.2","41.1","179.5","273.5","107.6","38.8","1.5",""
"1918","20.8","7.6","9.3","30.7","199.1","41.4","18.5","133.8","128.7","26.6","147.8","40.3",""
"1919","15.7","0","2.5","11.1","215.1","78.2","110.4","107.4","239.5","91.4","134.6","32.5",""
"1920","11.1","0","4.5","24.3","60.7","85.8","23.3","146.8","168.6","65.5","69.3","0",""
"1921","19.8","0","0","89.4","83","90.4","108.9","163.3","118.3","147.5","108.7","0.5",""
"1922","10.6","2","0","19.3","110.9","69","68.5","74.6","73.4","307.5","133.8","2",""
"1923","11.1","0.2","51","76.2","114.3","50.2","111.2","56.1","173.7","33.2","0.2","1",""
"1924","0.7","0","0","25.1","62.2","109.2","107.4","138.6","169.1","40.8","33.2","0",""
"1925","0","0","8.3","55.1","178.5","34.7","89.1","114.8","160.5","42.1","31.2","27.9",""
"1926","28.7","0","10.9","97.7","46.4","60.4","86.3","65.7","245.3","148.8","1.7","0",""
"1927","0","9.9","0","4","79.2","55.8","98","37","267.2","10.4","40.3","0.7",""
"1928","0","20","7.6","9.9","57.6","63.7","182.6","176.5","18.7","408.9","25.6","1.7",""
"1929","7.3","28.1","0","165.6","75.1","28.1","39.3","43.4","153.6","139.1","96","13.4",""
"1930","5.8","30.7","12.4","49.2","177","38.3","143.5","39.3","201.9","244.6","27.9","20.3",""
"1931","0","0","2.5","2.5","87.6","56.3","86.3","33","267.2","39.3","44.7","21.3",""
"1932","0","89.9","1","8.1","111.2","69","105.9","147","111.5","336.8","103.1","6.6",""
"1933","0","7.6","0.7","23.8","195.8","45.2","145","260.8","103.3","204.4","4.8","57.1",""
"1934","7.3","0","7.6","90.4","64.2","85","33.5","67.3","8.3","232.4","26.9","5",""
"1935","2","0","0","32.5","56.3","170.9","81.7","343.6","130.3","261.3","7.8","14.9",""
"1936","0","1","23.8","2.2","164.5","68.3","141.9","61.4","182.6","73.6","51.5","0",""
"1937","1.2","45.9","20","162","113.7","77.2","95.5","82.8","76.2","96.7","39.3","19",""
"1938","0","2.2","5.5","15.2","59.4","67.3","138.4","307.5","173.2","29.2","1.5","0",""
"1939","14.9","0","10.1","156.2","50.8","84.3","59.4","90.1","165.6","192.7","71.1","0",""
"1940","0","0","2","42.1","193.5","119.3","40.3","80.5","123.4","150.3","162.5","15.2",""
"1941","4","0","0","81.5","90.1","97.5","86.3","79.7","132.5","167.8","36.3","85.5",""
"1942","0","0","0","18.2","65","98.8","52.3","160.2","153.6","81.5","156.7","42.9",""
"1943","18.5","0","1","116.8","184.9","40.1","156.4","110.4","165.1","383","63.2","1",""
"1944","0","62.9","71.8","40.8","59.4","93.4","140.9","151.6","168.9","160.2","51.3","8.1",""
"1945","0","0","0","25.9","116.5","4.5","110.2","150.1","102.8","60.4","17","0",""
"1946","0.2","0","8.6","26.6","134.6","9.3","134.6","156.4","226.8","129.7","159","55.8",""
"1947","3.3","0","1.5","8.1","64","109.7","165.6","226.8","95.7","206.7","22.3","6.6",""
"1948","10.6","0","0","25.9","159.2","132","148.5","285.4","60.4","136.3","37.8","5",""
"1949","0","7.8","0","39.8","47.2","94.2","350.2","165.6","102.3","260.3","2.5","0",""
"1950","0","2","0","2.5","100","27.1","71.3","132.3","106.1","181.3","178.8","",""
"1951","0","0","0.8","11.2","169.7","56.6","172.2","48.5","266.7","122.7","56.1","0",""
